title,genres,network,watchers
Twinkling Watermelon,"Genres: Romance, Youth, Drama, Fantasy","Original Network: TVING, tvN",35440
Move to Heaven,"Genres: Life, Drama",Original Network: Netflix,80661
Moving,"Genres: Action, Thriller, Mystery, Supernatural","Original Network: Disney+, Hulu",40218
Weak Hero Class 1,"Genres: Action, Youth, Drama",na,59302
Hospital Playlist Season 2,"Genres: Romance, Life, Drama, Medical","Original Network: Netflix, tvN",56745
Nirvana in Fire,"Genres: Military, Historical, Drama, Political",Original Network: BTV,30234
Flower of Evil,"Genres: Thriller, Romance, Crime, Melodrama",Original Network: tvN,113940
Alchemy of Souls,"Genres: Action, Historical, Romance, Fantasy","Original Network: Netflix, tvN",84981
Hospital Playlist,"Genres: Romance, Life, Drama, Medical","Original Network: Netflix, tvN",95102
Reset,"Genres: Thriller, Mystery, Sci-Fi",Original Network: Tencent Video,29180
Reply 1988,"Genres: Comedy, Romance, Life, Youth",Original Network: tvN,99417
Hidden Love,"Genres: Comedy, Romance, Youth",Original Network: Youku,53119
My Mister,"Genres: Psychological, Life, Drama",Original Network: tvN,70199
1 Litre no Namida,"Genres: Romance, Drama, Melodrama",Original Network: Fuji TV,38198
Love Like the Galaxy: Part 2,"Genres: Historical, Mystery, Romance, Political","Original Network: Dragon TV, iQiyi, Tencent Video",23326
Mysterious Lotus Casebook,"Genres: Mystery, Wuxia","Original Network: CCTV, iQiyi",10840
Joy of Life,"Genres: Mystery, Romance, Wuxia, Fantasy","Original Network: iQiyi, Tencent Video",23094
Under the Queen's Umbrella,"Genres: Historical, Comedy, Drama, Political","Original Network: Netflix, tvN",27926
The Untamed,"Genres: Mystery, Wuxia, Fantasy",Original Network: Tencent Video,91633
When I Fly Towards You,"Genres: Comedy, Romance, Youth",Original Network: Youku,30519
Someday or One Day,"Genres: Thriller, Romance, Sci-Fi",Original Network: CTV,27245
The Glory Part 2,"Genres: Thriller, Drama, Melodrama",Original Network: Netflix,55074
Love Like the Galaxy: Part 1,"Genres: Historical, Mystery, Romance, Political","Original Network: Dragon TV, iQiyi, Tencent Video",31623
Crash Landing on You,"Genres: Military, Comedy, Romance, Political","Original Network: Netflix, tvN",169623
Dr. Romantic Season 3,"Genres: Romance, Drama, Medical","Original Network: Disney+, SBS",22732
Prison Playbook,"Genres: Comedy, Crime, Life, Drama","Original Network: Netflix, tvN",73806
Mr. Queen,"Genres: Historical, Comedy, Romance, Fantasy",Original Network: tvN,81643
Oh No! Here Comes Trouble,"Genres: Mystery, Comedy, Drama, Supernatural",Original Network: iQiyi,8870
Mother,"Genres: Thriller, Mystery, Psychological, Melodrama",Original Network: tvN,32495
Go Ahead,"Genres: Comedy, Romance, Drama, Melodrama","Original Network: Hunan TV, iQiyi, Mango TV",46174
It's Okay to Not Be Okay,"Genres: Psychological, Comedy, Romance, Drama","Original Network: Netflix, tvN",174805
Extraordinary Attorney Woo,"Genres: Law, Romance, Life, Drama","Original Network: ENA, Netflix",96969
Alchemy of Souls Season 2: Light and Shadow,"Genres: Action, Historical, Romance, Fantasy","Original Network: Netflix, tvN",51673
Navillera,"Genres: Life, Drama","Original Network: Netflix, tvN",41925
The Glory,"Genres: Thriller, Drama, Melodrama",Original Network: Netflix,76323
Vincenzo,"Genres: Comedy, Law, Crime, Drama","Original Network: Netflix, tvN",135293
Signal,"Genres: Thriller, Mystery, Sci-Fi",Original Network: tvN,76998
The Blood of Youth,"Genres: Wuxia, Youth, Fantasy",Original Network: Youku,10680
The Good Bad Mother,"Genres: Comedy, Life, Drama, Family","Original Network: jTBC, Netflix, TVING",38238
I Feel You Linger in the Air: Uncut Version,"Genres: Historical, Romance, Drama, Fantasy",Original Network: Youku,4997
